Puzzle File: ./puzzle/a1.txt
Random Number Generator Seed: 1535990045

Result Log
Run 1
1	1
2	6
3	10
55	11
67	18
491	21
586	23
1095	29
8988	39

Run 2
1	7
17	8
27	9
33	12
114	13
134	14
278	23
897	26
4953	27

Run 3
1	2
6	4
11	8
22	12
64	14
215	15
249	18
287	21
803	35

Run 4
1	1
2	6
15	13
99	14
102	18
117	23
2088	24
2608	25
3785	26
4596	30

Run 5
1	4
2	8
3	9
10	17
230	18
584	19
943	21
960	25
1934	29

Run 6
1	0
4	17
66	20
1195	22
1399	31

Run 7
1	3
4	6
16	7
17	9
23	12
43	16
503	22
1916	27

Run 8
1	1
2	10
17	12
59	17
218	25
7882	30

Run 9
1	3
2	4
3	6
12	9
15	10
22	11
26	14
117	17
217	19
517	22
1200	24
2928	29
7882	32

Run 10
1	0
2	8
12	16
278	25
2284	26
6817	27
8462	32
9777	33

Run 11
1	1
2	2
3	6
4	7
5	9
20	14
145	15
264	24
3341	29
8360	30

Run 12
1	0
2	2
4	9
24	14
35	15
114	17
183	18
233	24
4947	26
7201	29

Run 13
1	8
4	10
25	13
42	22
112	28

Run 14
1	6
6	8
41	11
43	12
112	13
222	16
691	18
1053	19
1780	24
4196	32

Run 15
1	4
2	12
69	20
769	23
1301	25
4638	28
8740	32

Run 16
1	10
9	15
124	18
522	22
706	24
1428	27
4747	30

Run 17
1	0
3	5
7	8
16	10
25	12
83	15
175	17
367	18
756	19
2891	21
3439	26
9153	30

Run 18
1	2
2	3
4	5
17	7
22	8
28	13
94	15
150	19
354	20
689	21
1394	22
1458	27
4932	32
7746	36

Run 19
1	7
6	17
74	18
151	20
328	26
1277	27
2613	30
5996	38

Run 20
1	7
16	11
74	18
270	19
869	23
2606	48

Run 21
1	10
38	15
338	16
697	17
945	18
1048	19
1136	26
1218	34
3598	36

Run 22
1	4
2	12
17	16
20	24
385	25
1161	34

Run 23
1	2
2	15
5	21
418	29
3294	34

Run 24
1	1
2	5
9	7
15	27
1174	30

Run 25
1	6
3	7
5	14
36	19
751	20
838	22
2666	26
7192	29

Run 26
1	6
12	7
17	11
28	14
109	18
620	19
1170	22
3537	24
5290	27

Run 27
1	1
3	2
7	8
12	10
21	19
89	25
433	26
2111	28
3748	29
3767	37

Run 28
1	5
12	9
16	14
36	16
44	17
648	23
2281	24
4217	25
4822	26
5614	27
7450	28

Run 29
1	0
2	4
5	7
21	10
24	13
222	15
281	16
402	18
571	20
1256	22
1640	29

Run 30
1	0
2	7
22	8
140	11
156	12
195	19
863	21
1252	22
1555	25
1752	31

