Puzzle File: ./puzzle/a1.txt
Random Number Generator Seed: 1541820160

Result Log
Run 1
1	1
2	3
4	6
6	9
11	15
390	16
407	20
439	31
4723	34

Run 2
1	7
13	8
30	10
58	14
111	26
6443	29
9102	31

Run 3
1	1
2	2
7	10
8	14
38	15
97	19
764	21
880	29
9755	31

Run 4
1	0
3	2
5	17
363	18
716	19
822	21
2179	24
6431	28
8341	34

Run 5
1	1
2	4
29	7
40	15
252	17
377	18
1580	20
1601	35

Run 6
1	6
12	10
36	13
191	15
232	16
301	20
1093	24
1346	33

Run 7
1	1
2	3
3	8
10	11
33	13
135	20
795	24
2648	27
3970	28

Run 8
1	4
3	7
5	10
56	12
66	19
996	31

Run 9
1	0
2	1
6	2
7	15
20	19
727	20
1387	25
1821	28

Run 10
1	3
11	10
29	20
224	21
458	25
2365	27
2600	28
5657	37

Run 11
1	1
7	8
16	12
25	22
1550	23
3780	24
4130	26
7836	39

Run 12
1	5
4	8
8	9
13	11
31	16
387	17
509	18
1370	19
1806	22
2995	24
3978	26
5570	27

Run 13
1	12
9	13
66	20
135	23
1809	27
3616	28
8126	30

Run 14
1	5
5	7
9	8
22	11
75	13
217	18
511	20
554	22
591	23
2065	24
2284	30

Run 15
1	0
2	1
4	15
244	27
2717	29
4777	31
9778	33

Run 16
1	3
4	7
12	14
151	17
186	21
1937	24

Run 17
1	0
3	2
5	5
7	7
21	10
52	19
731	23
3511	35

Run 18
1	1
2	5
4	7
21	10
23	11
33	15
219	16
297	21
1149	26
7354	29

Run 19
1	5
5	7
14	12
71	22
1738	25
1864	27
5453	31
9152	33

Run 20
1	8
4	12
11	13
13	16
104	17
128	18
318	22
380	24
2384	25
2456	26
4992	28

Run 21
1	2
3	3
4	7
30	9
40	15
68	18
261	19
1033	20
1425	22
4648	24
5811	25
7122	28
8633	33

Run 22
1	3
4	10
30	22
171	25
2896	27
9062	32

Run 23
1	2
2	5
10	8
16	11
92	12
119	17
333	24
1582	27

Run 24
1	3
4	4
9	6
10	8
20	10
60	12
85	25
6683	27

Run 25
1	2
2	5
9	7
11	11
33	14
109	16
231	27
3005	29

Run 26
1	4
4	9
13	10
36	21
267	27
420	30

Run 27
1	2
3	3
5	4
10	5
12	11
48	19
155	20
878	28
4313	33

Run 28
1	0
2	2
7	3
11	4
14	5
15	8
27	14
121	15
221	18
747	20
748	22
788	26
3590	34

Run 29
1	5
3	6
10	8
11	10
32	11
46	23
1247	24
3122	28

Run 30
1	5
7	7
31	8
41	15
147	17
210	18
369	22
792	32
7450	35

