Randomly Generated Puzzle Boxes 
Number of Rows: 10
Number of Columns: 12
Random Number Generator Seed: 1541820166

Result Log
Run 1
2	1
3	6
7	11
34	12
61	14
62	19
148	22
380	24
585	25
888	28
960	30
1387	34
2020	35
2250	36
5607	37

Run 2
1	2
2	3
4	7
5	9
16	12
24	17
52	18
58	20
73	25
1222	29
2249	31
3320	32
3451	36

Run 3
1	8
3	11
11	12
13	23
159	29
558	30
740	33
1065	37
3804	38

Run 4
1	13
2	14
10	15
40	22
101	26
825	28
2472	44

Run 5
1	1
2	5
18	7
35	10
38	13
39	14
182	16
514	17
748	19
1455	28
6822	29
9490	30

Run 6
2	3
6	6
7	7
11	13
29	15
72	26
360	27
1157	30
1436	41

Run 7
2	3
3	4
5	5
12	10
40	12
41	14
45	19
115	20
150	22
171	23
213	25
370	34
1297	35
1997	36
3504	37

Run 8
1	7
12	9
19	21
307	27
358	38
6101	42

Run 9
1	13
2	18
3	21
31	32
58	46
377	47
527	50
728	61
3057	66
5869	73

Run 10
1	1
3	14
68	24
542	25
797	28
1108	32
2362	36
9349	40

Run 11
1	7
2	9
4	11
16	14
20	17
65	21
311	22
471	25
1129	37

Run 12
1	6
7	11
22	13
39	23
709	27
3020	29
6214	32

Run 13
1	10
3	12
12	17
20	19
49	23
52	51
434	56
7717	65

Run 14
1	9
8	13
10	15
98	16
125	17
154	23
294	35
8683	47

Run 15
1	3
2	4
3	6
12	8
16	10
23	12
35	14
59	20
72	26
150	28
392	35
3689	36
7337	38

Run 16
1	19
2	20
50	22
309	34
1046	40
1086	48

Run 17
1	1
2	5
8	11
22	25
148	29
803	30
885	38

Run 18
1	1
4	12
24	15
27	18
28	28
96	32
326	45
929	48
5979	49
9310	50

Run 19
2	8
7	10
15	15
22	17
31	28
450	38
1001	44

Run 20
3	9
27	19
45	21
240	23
363	25
405	30
3707	34
8949	39

Run 21
1	1
4	2
5	3
6	11
8	13
23	16
29	17
32	21
71	42
3189	43

Run 22
1	6
2	14
28	17
44	20
68	22
324	34
3168	37

Run 23
1	2
5	3
9	4
10	8
28	11
61	14
63	17
81	26
811	31
1765	40

Run 24
1	1
2	6
7	7
13	8
20	15
39	23
75	26
845	33
1172	34
1739	36
6370	41

Run 25
2	18
45	19
160	22
457	23
598	25
926	36
5988	42

Run 26
1	9
34	14
133	17
377	19
681	22
725	25
908	28
2494	30
3756	31
6698	35

Run 27
2	1
3	4
6	10
10	22
927	23
1703	28
2662	34
3229	41

Run 28
1	22
16	24
149	33
214	34
1382	37
1523	38
1869	48

Run 29
1	12
3	15
23	25
49	35
137	43
566	48
672	54
2658	61

Run 30
1	1
8	9
24	13
32	18
34	23
192	24
1398	26
3920	27

